AMI,ARI,FMS,NMI
0.1036713347996087,0.029537043718552175,0.4822643767397005,0.14418580539244436
0.17163240598200913,0.04749649770156896,0.4857898519323205,0.2185771595511356
0.01960394855677857,0.004828569819233933,0.5840412008441535,0.07156699168751975
0.1065596041672989,0.09660655850283163,0.5579556267898749,0.16059596885675612
0.06261943262727318,-0.017517759366003024,0.5393914512809811,0.1276228281199799
0.09782631030626879,-0.014738965935590712,0.4844511952252149,0.13656125493190044
0.5170707275678723,0.6169702419163331,0.7869061695532729,0.643022651523773
0.5655533959339936,0.6560321921987806,0.8112245649966013,0.7051011630900782
0.5170707275678723,0.6169702419163331,0.7869061695532729,0.643022651523773
0.5655533959339936,0.6560321921987806,0.8112245649966013,0.7051011630900782
0.5170707275678723,0.6169702419163331,0.7869061695532729,0.643022651523773
0.5655533959339936,0.6560321921987806,0.8112245649966013,0.7051011630900782
0.5170707275678723,0.6169702419163331,0.7869061695532729,0.643022651523773
0.5655533959339936,0.6560321921987806,0.8112245649966013,0.7051011630900782
0.5170707275678723,0.6169702419163331,0.7869061695532729,0.643022651523773
0.5655533959339936,0.6560321921987806,0.8112245649966013,0.7051011630900782
0.4355267908751802,0.36648231048348734,0.5859383526726819,0.4416267069198039
0.47873709119185065,0.41983859678701424,0.6266693495319843,0.48338011172292145
0.4355267908751802,0.36648231048348734,0.5859383526726819,0.4416267069198039
0.47873709119185065,0.41983859678701424,0.6266693495319843,0.48338011172292145
0.4355267908751802,0.36648231048348734,0.5859383526726819,0.4416267069198039
0.47873709119185065,0.41983859678701424,0.6266693495319843,0.48338011172292145
0.4355267908751802,0.36648231048348734,0.5859383526726819,0.4416267069198039
0.47873709119185065,0.41983859678701424,0.6266693495319843,0.48338011172292145
0.4355267908751802,0.36648231048348734,0.5859383526726819,0.4416267069198039
0.47873709119185065,0.41983859678701424,0.6266693495319843,0.48338011172292145
