AMI,ARI,FMS,NMI
0.509084038780987,0.4683501447592552,0.7418769705113742,0.7142473234185359
0.6098036276547021,0.5386230301113797,0.7014238405490228,0.6118868795130192
0.509084038780987,0.4683501447592552,0.7418769705113742,0.7142473234185359
0.5247058133625495,0.46926893598546654,0.7328769774763233,0.6806412314387775
0.509084038780987,0.4683501447592552,0.7418769705113742,0.7142473234185359
0.5965760923957939,0.48031441881616826,0.66481543159035,0.6003050628846973
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
