Metric     	 AMI 	 ARI 	 FMS 	 NMI 
Chebychev  	 0.75 	 0.74 	 0.85 	0.84 
CityBlock  	 0.56 	 0.54 	 0.72 	0.63 
Correlation 	 0.29 	 0.30 	 0.59 	0.33 
Cosine     	 0.28 	 0.30 	 0.59 	0.33 
Euclidean  	 0.72 	 0.72 	 0.84 	0.81 
Hamming    	 0.25 	 0.25 	 0.58 	0.28 
Jaccard    	 0.25 	 0.25 	 0.58 	0.28 
Minkowski  	 0.72 	 0.72 	 0.84 	0.81 
dtw        	 0.54 	 0.54 	 0.74 	0.62 
mt-lmnn    	 0.54 	 0.53 	 0.71 	0.61 
seuclidean 	 0.30 	 0.31 	 0.60 	0.36 
================================================== 
hvalue     	 1.00 	 1.00 	 1.00 	1.00 
pvalue     	 0.00 	 0.00 	 0.00 	0.00 
