AMI,ARI,FMS,NMI
0.509084038780987,0.4683501447592552,0.7418769705113742,0.7142473234185359
0.5247058133625495,0.46926893598546654,0.7328769774763233,0.6806412314387775
0.01960394855677857,0.004828569819233933,0.5840412008441535,0.07156699168751975
0.5247058133625495,0.46926893598546654,0.7328769774763233,0.6806412314387775
0.509084038780987,0.4683501447592552,0.7418769705113742,0.7142473234185359
0.6810832261427523,0.6068978674673418,0.7637307457191878,0.7212743915459788
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
0.6409719706204077,0.6922052436689455,0.833750896882302,0.8010923770722017
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
